id,nombre,precio,descripcion
267,pollo,6605,carne
357,mouse,14549,producto tecnologico
357,mouse,14549,producto tecnologico
295,manzana,11013,frutas
158,hamburguesa de pollo,10287,hamburguesa
379,hamburguesa de vacuno,11754,hamburguesa
382,kiwi,10967,frutas
367,teclado,7331,producto tecnologico
327,hallulla,6887,pan
83, frutillas en conserva,12139,fruta en conserva
412,marraqueta,14464,pan
384,pantalla lineas,13539,pantalla de luz
394,limon,5808,verduras
150,salmon,6044,pescado congelado
331,lenguado,6376,pescado congelado
191,marraqueta,6589,pan
151,cerdo congelado,13962,carne congelada
284,marraqueta,14433,pan
13,esparragos frasco,14537,verdura en conserva
257,pantalon,12445,ropa
41,hamburguesa de verduras,13789,hamburguesa
40,pantalla lisa,11843,pantalla de luz
267,pollo,6605,carne
257,pantalon,12445,ropa
75,lechuga,7914,verduras
32,pantalla para colgar,6200,pantalla de luz
104,chaqueta,9435,ropa
313,platano,12727,frutas
171,mix de frutas en conserva,8658,fruta en conserva
399,mouse,14474,producto tecnologico
401,arvejas congeladas,14782,verduras congeladas
367,teclado,7331,producto tecnologico
400,mix de verduras congeladas,13648,verduras congeladas
368,limon,12932,verduras
167,hamburguesa de vacuno,9224,hamburguesa
389,manzana,7436,frutas
341,pollo congelado,10534,carne congelada
352,mix de frutas en conserva,14348,fruta en conserva
401,arvejas congeladas,14782,verduras congeladas
30,vacuno,8973,carne
40,pantalla lisa,11843,pantalla de luz
356,kiwi,14585,frutas
128,pavo,9003,carne
378,televisor,10657,producto tecnologico
57,cerdo,7160,carne
110,pantalla papel,9914,pantalla de luz
63,arvejas congeladas,14607,verduras congeladas
9,hamburguesa de verduras,11678,hamburguesa
163,carne molida,7134,carne congelada
369,tomate,13568,verduras
61,vacuno,5898,carne
39,merlusa,10053,pescado congelado
389,manzana,7436,frutas
381,pantalla para colgar,8882,pantalla de luz
220,manzana,11649,frutas
367,teclado,7331,producto tecnologico
256,porotos congelados,14619,verduras congeladas
92,garbanzos en conserva,11554,verdura en conserva
302,teclado,8227,producto tecnologico
357,mouse,14549,producto tecnologico
275,pantalla lisa,13875,pantalla de luz
116,cerdo congelado,11027,carne congelada
367,teclado,7331,producto tecnologico
376,arvejas en conserva,14460,verdura en conserva
37,cerdo,13208,carne
370,pera,14775,frutas
122,porotos congelados,11540,verduras congeladas
219,papaya en conserva,13561,fruta en conserva
63,arvejas congeladas,14607,verduras congeladas
28,cerdo,12064,carne
135,arvejas congeladas,9491,verduras congeladas
182,manzana,14158,frutas
332,pantalla lisa,7833,pantalla de luz
87,teclado,12613,producto tecnologico
142,mix de frutas en conserva,5219,fruta en conserva
37,cerdo,13208,carne
344,pantalla para colgar,11629,pantalla de luz
53,durazno,5640,frutas
73,pantalla lineas,8949,pantalla de luz
102,televisor,5303,producto tecnologico
351,vacuno congelado,11224,carne congelada
284,marraqueta,14433,pan
360,pantalla papel,11751,pantalla de luz
348,mouse,14046,producto tecnologico
218,hamburguesa de pollo,8248,hamburguesa
244,pantalla para colgar,5174,pantalla de luz
278,camiseta,9381,ropa
369,tomate,13568,verduras
315,pantalla lisa,13048,pantalla de luz
102,televisor,5303,producto tecnologico
291,arvejas congeladas,9580,verduras congeladas
303,pantalla lisa,14182,pantalla de luz
127,pan de molde,9653,pan
229,merlusa,8380,pescado congelado
176,salmon,6261,pescado congelado
314,pavo congelado,12293,carne congelada
93,pan de molde,11181,pan
5,mix de verduras congeladas,11791,verduras congeladas
297,pantalla para colgar,6596,pantalla de luz
7,pantalla lineas,10802,pantalla de luz
331,lenguado,6376,pescado congelado
133,reineta,7700,pescado congelado
254,kiwi,7974,frutas
368,limon,12932,verduras
226,carne molida,5033,carne congelada
208,telefono,9760,producto tecnologico
0,merlusa,8706,pescado congelado
181,hamburguesa de verduras,5304,hamburguesa
62, frutillas en conserva,6958,fruta en conserva
160,merlusa,10910,pescado congelado
246,pollo,9006,carne
171,mix de frutas en conserva,8658,fruta en conserva
356,kiwi,14585,frutas
409,pantalla lineas,12158,pantalla de luz
340,pantalla para colgar,5107,pantalla de luz
20,cerdo,12012,carne
181,hamburguesa de verduras,5304,hamburguesa
22,televisor,5912,producto tecnologico
119,hamburguesa de vacuno,12701,hamburguesa
187,carne molida,12944,carne congelada
351,vacuno congelado,11224,carne congelada
187,carne molida,12944,carne congelada
122,porotos congelados,11540,verduras congeladas
312,pantalla papel,6898,pantalla de luz
205,lechuga,5224,verduras
295,manzana,11013,frutas
404,mix de verduras congeladas,14681,verduras congeladas
385,limon,11324,verduras
315,pantalla lisa,13048,pantalla de luz
192,telefono,12648,producto tecnologico
340,pantalla para colgar,5107,pantalla de luz
279,merlusa,9334,pescado congelado
245,pantalla lisa,6627,pantalla de luz
312,pantalla papel,6898,pantalla de luz
273,hallulla,12150,pan
154,telefono,13859,producto tecnologico
18,palta,14117,verduras
142,mix de frutas en conserva,5219,fruta en conserva
60,pantalla para colgar,8436,pantalla de luz
78,hamburguesa de quinoa,7460,hamburguesa
218,hamburguesa de pollo,8248,hamburguesa
62, frutillas en conserva,6958,fruta en conserva
192,telefono,12648,producto tecnologico
308,mix de verduras congeladas,6920,verduras congeladas
414,pantalla lineas,11871,pantalla de luz
75,lechuga,7914,verduras
298,vestido,5065,ropa
167,hamburguesa de vacuno,9224,hamburguesa
326,esparragos frasco,14352,verdura en conserva
175,hallulla,11970,pan
405,pavo,7717,carne
76,manzana,9326,frutas
396,porotos congelados,8296,verduras congeladas
363,jeans,7348,ropa
1,mix de frutas en conserva,10730,fruta en conserva
140,teclado,6971,producto tecnologico
292,vacuno congelado,12122,carne congelada
16,hamburguesa de quinoa,5914,hamburguesa
311,vestido,14898,ropa
377,telefono,14256,producto tecnologico
222,vestido,10689,ropa
38,cerdo congelado,5036,carne congelada
153,pantalla papel,8665,pantalla de luz
367,teclado,7331,producto tecnologico
327,hallulla,6887,pan
224,camiseta,12133,ropa
138,marraqueta,9334,pan
211,hamburguesa de quinoa,13949,hamburguesa
264,hamburguesa de vacuno,14847,hamburguesa
46,palta,13279,verduras
94,pollo congelado,6136,carne congelada
25,lechuga,7704,verduras
214,cerdo,6063,carne
143,vacuno,13742,carne
66,vacuno congelado,12014,carne congelada
402,salmon,6712,pescado congelado
371,marraqueta,11380,pan
83, frutillas en conserva,12139,fruta en conserva
332,pantalla lisa,7833,pantalla de luz
168,hallulla,6062,pan
377,telefono,14256,producto tecnologico
209,televisor,10968,producto tecnologico
73,pantalla lineas,8949,pantalla de luz
238,reineta,10784,pescado congelado
404,mix de verduras congeladas,14681,verduras congeladas
381,pantalla para colgar,8882,pantalla de luz
30,vacuno,8973,carne
366,pantalla papel,8830,pantalla de luz
318,pavo,6208,carne
79,teclado,5555,producto tecnologico
205,lechuga,5224,verduras
381,pantalla para colgar,8882,pantalla de luz
3,merlusa,13317,pescado congelado
268,teclado,12598,producto tecnologico
366,pantalla papel,8830,pantalla de luz
13,esparragos frasco,14537,verdura en conserva
154,telefono,13859,producto tecnologico
101,mix de verduras congeladas,8253,verduras congeladas
334,pantalla lineas,9860,pantalla de luz
326,esparragos frasco,14352,verdura en conserva
33, frutillas en conserva,9530,fruta en conserva
162,pollo,9026,carne
304,jeans,8403,ropa
392,arvejas en conserva,13884,verdura en conserva
74,pantalla lisa,14478,pantalla de luz
370,pera,14775,frutas
392,arvejas en conserva,13884,verdura en conserva
35,hamburguesa de vacuno,13174,hamburguesa
301,carne molida,6414,carne congelada
380,reineta,6388,pescado congelado
261,palta,13207,verduras
198,mouse,12730,producto tecnologico
85,salmon,9211,pescado congelado
206,lenguado,8200,pescado congelado
125,teclado,6734,producto tecnologico
378,televisor,10657,producto tecnologico
174,vacuno,14113,carne
25,lechuga,7704,verduras
215,durazno,9245,frutas
113,hamburguesa de verduras,8820,hamburguesa
142,mix de frutas en conserva,5219,fruta en conserva
36,lenguado,12514,pescado congelado
397,palta,13962,verduras
93,pan de molde,11181,pan
301,carne molida,6414,carne congelada
382,kiwi,10967,frutas
70,vacuno congelado,14623,carne congelada
157,hamburguesa de pollo,14465,hamburguesa
34,mix de verduras congeladas,13386,verduras congeladas
61,vacuno,5898,carne
252,pavo congelado,6840,carne congelada
38,cerdo congelado,5036,carne congelada
98,teclado,5890,producto tecnologico
49,televisor,11837,producto tecnologico
412,marraqueta,14464,pan
408,garbanzos en conserva,12008,verdura en conserva
150,salmon,6044,pescado congelado
367,teclado,7331,producto tecnologico
279,merlusa,9334,pescado congelado
208,telefono,9760,producto tecnologico
314,pavo congelado,12293,carne congelada
297,pantalla para colgar,6596,pantalla de luz
206,lenguado,8200,pescado congelado
396,porotos congelados,8296,verduras congeladas
84,pantalla lisa,14987,pantalla de luz
217,pollo,13965,carne
74,pantalla lisa,14478,pantalla de luz
298,vestido,5065,ropa
32,pantalla para colgar,6200,pantalla de luz
269,televisor,11826,producto tecnologico
166,reineta,12040,pescado congelado
388,hamburguesa de vacuno,8376,hamburguesa
375,pollo congelado,7447,carne congelada
60,pantalla para colgar,8436,pantalla de luz
411,durazno,11230,frutas
172,polera,11996,ropa
68,camisa,5009,ropa
21,televisor,12324,producto tecnologico
266,poleron,11997,ropa
237,marraqueta,6179,pan
293,vacuno congelado,7891,carne congelada
265,telefono,6947,producto tecnologico
195,reineta,8674,pescado congelado
66,vacuno congelado,12014,carne congelada
94,pollo congelado,6136,carne congelada
347,salmon,5361,pescado congelado
331,lenguado,6376,pescado congelado
134,jeans,10305,ropa
63,arvejas congeladas,14607,verduras congeladas
128,pavo,9003,carne
45,salmon,10211,pescado congelado
0,merlusa,8706,pescado congelado
82,durazno,9861,frutas
26,manzana,7438,frutas
194,hallulla,9444,pan
74,pantalla lisa,14478,pantalla de luz
